We gratefully acknowledge the authors, originating and submitting laboratories of the sequences from GISAID’s EpiFlu™ Database on which this research is based. The list is detailed below.
All submitters of data may be contacted directly via www.gisaid.org
Accession ID	Virus name	Location	Collection date	Originating lab	Submitting lab	Authors
EPI_ISL_417141	hCoV-19/USA/WA-S88/2020	North America / USA / Washington / King County	2020-03-01	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_420793	hCoV-19/USA/NY_2929/2020	North America / USA / New York	2020-03-02	NYC Department of Health and Mental Hygiene	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
EPI_ISL_417142	hCoV-19/USA/WA-S89/2020	North America / USA / Washington / Umatilla County	2020-02-29	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_420792	hCoV-19/USA/NH_0008/2020	North America / USA / New Hampshire	2020-03-02	NH Department of Health and Human Services Public Health Labs	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
EPI_ISL_420795	hCoV-19/USA/RI_0556/2020	North America / USA / Rhode Island	2020-03-01	RI State Health Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
EPI_ISL_417140	hCoV-19/USA/WA-S87/2020	North America / USA / Washington / King County	2020-03-01	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_420794	hCoV-19/USA/OR_5430/2020	North America / USA / Oregon	2020-03-01	Oregon State Public Health- Virology section	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
EPI_ISL_417145	hCoV-19/USA/WA-S92/2020	North America / USA / Washington / King County	2020-02-29	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417146	hCoV-19/USA/WA-S93/2020	North America / USA / Washington / King County	2020-02-29	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417143	hCoV-19/USA/WA-S90/2020	North America / USA / Washington / Umatilla County	2020-02-29	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_420791	hCoV-19/USA/NH_0004/2020	North America / USA / New Hampshire	2020-02-29	NH Department of Health and Human Services Public Health Labs	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
EPI_ISL_417144	hCoV-19/USA/WA-S91/2020	North America / USA / Washington / Snohomish County	2020-03-02	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_420790	hCoV-19/USA/IL_1293/2020	North America / USA / Illinois	2020-03-01	Illinois Department of Public Health Chicago Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
EPI_ISL_417149	hCoV-19/USA/WA-S96/2020	North America / USA / Washington / King County	2020-02-28	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417147	hCoV-19/USA/WA-S94/2020	North America / USA / Washington / Snohomish County	2020-02-28	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417148	hCoV-19/USA/WA-S95/2020	North America / USA / Washington / King County	2020-02-28	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_420789	hCoV-19/USA/IL_1375/2020	North America / USA / Illinois	2020-03-01	Illinois Department of Public Health Chicago Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
EPI_ISL_420786	hCoV-19/USA/GA_1320/2020	North America / USA / Georgia	2020-03-03	GA Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
EPI_ISL_420785	hCoV-19/USA/FL_6318/2020	North America / USA / Florida	2020-03-02	FL Bureau of Health Laboratories Tampa	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
EPI_ISL_420788	hCoV-19/USA/GA_1445/2020	North America / USA / Georgia	2020-03-04	GA Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
EPI_ISL_420787	hCoV-19/USA/GA_1299/2020	North America / USA / Georgia	2020-03-03	GA Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
EPI_ISL_417130	hCoV-19/USA/WA-S77/2020	North America / USA / Washington / King County	2020-03-05	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_419793	hCoV-19/Australia/VIC81/2020	Oceania / Australia / Victoria	2020-03-14	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Sait, M., Schultz M., Druce J., Sherry, N.
EPI_ISL_417131	hCoV-19/USA/WA-S78/2020	North America / USA / Washington / King County	2020-03-05	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_419792	hCoV-19/Australia/VIC80/2020	Oceania / Australia / Victoria	2020-03-14	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Sait, M., Schultz M., Druce J., Sherry, N.
EPI_ISL_419791	hCoV-19/Australia/VIC79/2020	Oceania / Australia / Victoria	2020-03-14	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Sait, M., Schultz M., Druce J., Sherry, N.
EPI_ISL_420784	hCoV-19/USA/AZ_4811/2020	North America / USA / Arizona	2020-03-02	AZ Department of Health Services	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
EPI_ISL_419790	hCoV-19/Australia/VIC78/2020	Oceania / Australia / Victoria	2020-03-14	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Sait, M., Schultz M., Druce J., Sherry, N.
EPI_ISL_417134	hCoV-19/USA/WA-S81/2020	North America / USA / Washington / King County	2020-02-26	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_419797	hCoV-19/Australia/VIC87/2020	Oceania / Australia / Victoria	2020-03-15	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Sait, M., Schultz M., Druce J., Sherry, N.
EPI_ISL_417135	hCoV-19/USA/WA-S82/2020	North America / USA / Washington / King County	2020-02-22	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_419796	hCoV-19/Australia/VIC86/2020	Oceania / Australia / Victoria	2020-03-15	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Sait, M., Schultz M., Druce J., Sherry, N.
EPI_ISL_417132	hCoV-19/USA/WA-S79/2020	North America / USA / Washington / King County	2020-03-05	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_419795	hCoV-19/Australia/VIC85/2020	Oceania / Australia / Victoria	2020-03-15	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Sait, M., Schultz M., Druce J., Sherry, N.
EPI_ISL_417133	hCoV-19/USA/WA-S80/2020	North America / USA / Washington / King County	2020-03-05	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_419794	hCoV-19/Australia/VIC82/2020	Oceania / Australia / Victoria	2020-03-14	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Sait, M., Schultz M., Druce J., Sherry, N.
EPI_ISL_417138	hCoV-19/USA/WA-S85/2020	North America / USA / Washington / King County	2020-03-05	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417139	hCoV-19/USA/WA-S86/2020	North America / USA / Washington / King County	2020-03-01	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417136	hCoV-19/USA/WA-S83/2020	North America / USA / Washington / King County	2020-03-05	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_419799	hCoV-19/Australia/VIC83/2020	Oceania / Australia / Victoria	2020-03-14	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Sait, M., Schultz M., Druce J., Sherry, N.
EPI_ISL_417137	hCoV-19/USA/WA-S84/2020	North America / USA / Washington / King County	2020-02-21	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_419798	hCoV-19/Australia/VIC88/2020	Oceania / Australia / Victoria	2020-03-15	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Sait, M., Schultz M., Druce J., Sherry, N.
EPI_ISL_420775	hCoV-19/England/20142062904/2020	Europe / United Kingdom / England	2020-03-30	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon
EPI_ISL_420774	hCoV-19/England/20142062604/2020	Europe / United Kingdom / England	2020-03-28	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon
EPI_ISL_420776	hCoV-19/England/20142063004/2020	Europe / United Kingdom / England	2020-03-27	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon
EPI_ISL_417163	hCoV-19/USA/WA-S110/2020	North America / USA / Washington / King County	2020-03-05	Seattle Flu Study	Seattle Flu Study	Chu etl al
EPI_ISL_422510	hCoV-19/USA/NY-PV09139/2020	North America / USA / New York / Queens	2020-03-20	MSHS Clinical Microbiology Laboratories	MSHS Pathogen Surveillance Program	Ana S. Gonzalez-Reiche, Mitchell Sullivan, Ajay Obla, Gopi Patel, Emilia Sordillo, Melissa Gitman, Alberto Paniz-mondolfi, Matthew Hernandez, Shelcie Fabre, Jose Polanco, Zenab Khan, Bremy Albuquerque, Jayeeta Dutta, Juan Soto, Shwetha Sridhar Hara, Ying-Chih Wang, Melissa Smith, Robert Sebra, Lisa Miorin, Wen-chun Liu, Randy Albrecht, Judith Aberg, Florian Krammer, Adolfo Garcia-Sarstre, Viviana Simon, Harm van Bakel
EPI_ISL_417164	hCoV-19/USA/WA-S111/2020	North America / USA / Washington / King County	2020-03-07	Seattle Flu Study	Seattle Flu Study	Chu etl al
EPI_ISL_422511	hCoV-19/USA/NY-PV09140/2020	North America / USA / New York / Manhattan	2020-03-20	MSHS Clinical Microbiology Laboratories	MSHS Pathogen Surveillance Program	Ana S. Gonzalez-Reiche, Mitchell Sullivan, Ajay Obla, Gopi Patel, Emilia Sordillo, Melissa Gitman, Alberto Paniz-mondolfi, Matthew Hernandez, Shelcie Fabre, Jose Polanco, Zenab Khan, Bremy Albuquerque, Jayeeta Dutta, Juan Soto, Shwetha Sridhar Hara, Ying-Chih Wang, Melissa Smith, Robert Sebra, Lisa Miorin, Wen-chun Liu, Randy Albrecht, Judith Aberg, Florian Krammer, Adolfo Garcia-Sarstre, Viviana Simon, Harm van Bakel
EPI_ISL_417161	hCoV-19/USA/WA-S108/2020	North America / USA / Washington / King County	2020-02-29	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417162	hCoV-19/USA/WA-S109/2020	North America / USA / Washington / Snohomish County	2020-03-01	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417167	hCoV-19/USA/WA-S114/2020	North America / USA / Washington / Snohomish County	2020-03-05	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417168	hCoV-19/USA/WA-S115/2020	North America / USA / Washington / King County	2020-02-29	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417165	hCoV-19/USA/WA-S112/2020	North America / USA / Washington / King County	2020-03-08	Seattle Flu Study	Seattle Flu Study	Chu etl al
EPI_ISL_417166	hCoV-19/USA/WA-S113/2020	North America / USA / Washington / King County	2020-02-29	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417169	hCoV-19/USA/WA-S116/2020	North America / USA / Washington	2020-03-02	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_410532	hCoV-19/Japan/OS-20-07-1/2020	Asia / Japan / Osaka	2020-01-23	Dept. of Pathology, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Harutaka Katano, Shutoku Matsuyama, Naganori Nao, Kazuya Shirato, Motoi Suzuki, Hideki Hasegawa, Takaji Wakita, Makoto Takeda, Tadaki Suzuki, Makoto Kuroda
